Epoch,Avg Train Loss,Avg Valid Loss
0,539.2534,139.60385
1,163.98738,88.80693
2,154.85416,62.89228
3,61.626827,40.19653
4,41.659985,32.358253
5,36.718296,28.738888
6,36.13038,29.636097
7,42.84467,27.303095
8,32.240482,27.729675
9,30.266708,24.61298
10,30.062588,38.337288
11,32.975033,21.929094
12,25.85873,21.56897
13,36.149086,23.993135
14,27.136158,18.165104
15,23.129213,21.658499
16,30.177954,18.25411
17,36.315197,21.36892
18,20.977463,29.463007
19,21.371479,19.548332
20,20.631907,14.8129835
21,15.648886,13.141638
22,16.030846,10.341879
23,22.449501,12.097943
24,39.8807,10.200879
25,24.86839,10.64292
26,20.78424,10.383877
27,38.29754,25.450003
28,23.538189,10.628691
29,20.340658,11.362539
30,15.346472,14.967069
31,20.59261,12.663297
32,12.465516,9.463981
33,30.237896,10.600688
34,27.487232,13.878571
35,25.901848,11.617144
36,26.954197,9.531175
37,12.558672,7.463628
38,18.38932,12.629228
39,16.322748,13.181979
40,14.646817,9.258166
41,16.677217,7.957888
42,38.92259,9.034131
43,20.541698,8.178457
44,17.912714,9.537013
45,25.806145,25.384602
46,32.451195,10.363065
47,14.980293,7.6474924
48,14.7487955,6.4624343
49,24.045158,8.33013
50,14.393994,6.669568
51,17.587923,6.815914
52,15.860706,7.3225756
53,9.643219,42.810917
54,33.551517,6.9389257
55,18.000572,8.559814
56,13.838322,7.8535285
57,23.719843,7.7787147
58,32.484543,5.6184425
59,13.217103,6.811267
60,10.324524,6.798841
61,13.161909,5.9277816
62,28.400274,5.7526827
63,16.4829,9.349285
64,11.48265,19.726871
65,9.664963,4.8139315
66,29.43428,5.414993
67,13.494203,6.939349
68,43.683285,13.51205
69,10.767442,5.1746492
70,12.866035,7.953448
71,10.277785,4.9965487
72,8.742526,6.3559103
73,15.122157,5.4631457
74,8.094979,4.752992
75,11.577339,5.4995456
76,8.583861,4.594882
77,8.239429,4.7416663
78,8.052812,6.412404
79,9.879632,5.171292
80,9.997576,4.6843004
81,14.58652,5.008834
82,11.078965,5.1378183
83,27.28222,6.275092
84,6.143065,4.2069783
85,11.476345,11.9199915
86,28.52288,5.7803597
87,9.578656,6.180404
88,30.157862,4.573326
89,22.487312,5.6344376
90,7.733171,4.423669
91,7.1550074,4.74561
92,7.6804295,5.1713424
93,10.972451,4.036111
94,9.763383,5.517157
95,9.425008,8.815759
96,8.313652,11.063121
97,6.230139,3.5698981
98,37.677258,12.266958
99,15.159281,4.9375925
